eqRNC,EqH2O,Sel,intensity,Concentration,faraday,yield,priority
3.0,75.0,0.1,10.0,0.1,4.0,59.0,-1.0
3.0,75.0,0.1,10.0,0.1,3.0,60,-1.0
3.0,75.0,0.05,30.0,0.05,3.0,20.0,-1.0
3.0,1.0,0.5,40.0,0.05,2.5,2,-1.0
3.0,1.0,0.5,30.0,0.5,4.0,0,-1.0
1.5,75.0,0.25,40.0,0.05,4.0,43.0,-1.0
1.5,75.0,0.05,10.0,0.1,3.5,67,-1.0
1.5,1.0,0.05,10.0,0.05,4.0,55.0,-1.0
1.2,75.0,0.1,30.0,0.1,4.0,64.0,-1.0
1.2,1.0,0.05,30.0,0.5,3.0,27,-1.0
1.0,50.0,0.1,20.0,0.1,3.0,75,-1.0
1.0,50.0,0.05,5.0,0.1,4.0,60,-1.0
1.0,1.0,0.05,10.0,0.05,3.5,50.0,-1.0
0.8,75.0,0.5,20.0,0.05,4.0,1,-1.0
0.8,75.0,0.5,20.0,0.05,2.0,1,-1.0
0.8,75.0,0.25,5.0,0.25,3.5,52,-1.0
0.8,75.0,0.05,20.0,0.05,4.0,1,-1.0
0.8,75.0,0.05,5.0,0.25,2.0,37,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
